autor_comentario,nota_comentario,conteudo_comentario
Thiago C.,1,gosto gosto achei bosta filme concorrer oscar gosto gosto ... keaton filme superar ator teorio
Higor N.,1,ruim entendi parabéns pra gostar
Sílvia M.,1,ruim Keaton pretender ganhar oscar porcar diálogo fracos.horrorosos filme apelativo terrível
Paolo De Corleone,3,gosto gosto recomendável respeitir opinião dúvida birdman filme dividir opinião público crítico especializar ser curto grosso gostar birdman abrir cérebro suficiente apreciar filme filme esperar excelente comedir 1 tomar mínimo 4 minuto acabar característica especial filme falarar de ela frente começar história sarcástico melancólica impressionante filme conseguir controlar característica apesar engraçado diversos momento mensagem trás longo refletir telespectador filme tratar se paródia pessoa michael keaton recado sociedade atual frase par olhar vida tela celular idiota nascer minuto momento óbvio assistir filme paródia fator uso obsessivo rostinho bonito talento indústria cinematográfico discretamente premiação mundo crítica especializar enredo magnífico auto-interpretação sair cinema refletir diversos fator atuação característico magnífico protagonista michael keaton apesar brilhar papel único levar mérito Edward norton trás momento bizarro dúvida engraçar filme emma stone arrasa tomar longo principalmente momento específico contracena Keaton naomi watts possuír ótimo momento principalmente protagonizar beijo lésbico humorado zach galifianakis ótimo papel estrela momento obviamente engraçadíssimos poder receber espaço trama fotografiar câmerar característica especial fotografia diversificar apresentar cor saturar deleite olho câmera magnífico filme inteiro rodar 1 longuíssimo tomar claro caso efeito ótimo dúvida realizar birdman filme sensacional obra arte cinema muito pessoa compreender simplesmente filme caso estar preparar divertido melancólico história redençãor afeto muito crítica sociedade filme particularmente adorar longo exatamente esperar ser mente abrir assisti-lo
Andrea M.,1,ganhar oscar achar ruim ver opção pessoal estar 4 ninguém gostar    tirar dúvida lanceer pergunta pg face 2 pessoa gostar
maverick s.,1,filme ruim concorrer oscar bom filme querer passar mensagem legal filme dever concorrer oscar bom filme indico filme ninguém assisti trailer parecer legal verdade horrível perca filme legal filme achei excelente sniper americano concorrência oscar bom filme enfim legal merecer classificar excelente
Danilo H.,1,filme ruim chato terminar ele pesquisar diversos site verificar deixei passar algum acreditei conseguir ganhar oscar bom filme 4 8 pessoa desistir passar 30 minuto arrancar risada sequer 4 restante estar rotulado comédia
Samira B.,1,filme atrair atenção 15minutos início ... cansativo
Rene V.,1,filme muitoooo fraco mau filme assisti 2015.isso mostrar funcionar oscar pagar levar trofeúzinho falso recomendar ninguém filme
Um visitante,1,principal objetivo filme mostrar coisa acontecer vida ator problema dia dia apesar entender mensagem filme achar interessante achar ótimo assistir novamente birdman chegar ruim leiam resenha completo link abaixo
Beatriz S.,3,excelente digno oscar levar oscar bom filme cortar carne hollywood premiação oscar representar comércio bajulação futilidade parêntese ligo pra adorar filme cabeça amoer futilidade hollywood
LuanGuilherme91,1,filme merecer oscar história prender filme sono início acontecer filme ator teatro lembrar feliz interpretar birdman passar medo receber crítico negativo atual peça teatro gostar recomer
Ericson M.,3,birdman alejandro g. iñárritu irônicar necessidade cinismo esplêndido crítica ferrenho arte domínio birdman sobressair fantástico seguro direção iñárritu fantástico atuação filme tornar birdman prato cheio espectador sinceridade cínico humildade descarar corajoso expor abordagem metalinguístico meandro compõer cinema dramaturgia contemporâneo – ser integrante indústria solapar próprio arte – filme importante dia hoje parar birdman explorar criticamente papel mero espectador importância indivíduo constituinte sociedade rumo tomar necessidade representar ser importante relevante ... lembrar iñárritu conduzir filme virtuosismo encher olho realmente mágico plano sequência plano longo ligar constantemente dar vida curioso história riggan thomson ser simples aparato atrativo modo plano utilizar iñárritu assumir claramente papel narrativa dar voz subjetividade trama principalmente protagonista acréscimo narrativo dever ímpar alejandro omitir corte de esse plano dar constância tom exaustão inquietude vida thonsom contar jogo câmera aparentar dançar cena circundar personagem maravilhoso fotografia trilho sonoro curioso importante birdman estabelecer trabalho técnica irremediável dir birdman – correr propositalmente risco sofrer correção semântico – colcha retalhos pano amálgama si roteiro – escrever mão – segmento compor espetáculo texto rechear referência atual cenário cinematográfico embasar crítica quadro Blockbusteriano função crítico especializar desempenhar abordar realidade externo dramaturgia filme alojar papel virtual existência sujeitar atar divagação protagonista junto birdman alter ego contar diálogo milimetricamente elaborar personagem tecer durante filme longo traçar panorama vida plateia vida ator imaginar universo inserir papel concomitantemente encarnar desempenha vida birdman imerso crítica tenaz cenário hollywoodiano cinema desfecho projeção caráter ambíguo filme ironizar modo repetitivo complacente hollywood caso encontrar encerrar história final feliz propósito cena belo sutis birdman sacar genial acreditar pensar faltar espectador dispor assistir filme pequeno aparte respeito atuação restar óbvio elogio elenco principal merecer ressalva particular ficar difícil encontrar adjetivo sinônimo suficiente elogia-los competência brilhantismo faltar filme esquecer alegria particular michael keaton bom inspirar atuação carreira tempo cinema perder lento gradativamente identidade força reflexivo sobretudo diversidade criativo birdman apresentar bom filme 2014 espécie vivo consciência crítico metáforo brincar fantasia realidade composição tentar lampejo luz próprio casa a aquele mover engrenagem vida amar arte birdman obrigatório
Matheus França,3,estar birdman inesperado virtude ignorância filme Super-heróis oposto crítico hollywood necessidader filme herói birdman filme humor ácido personagem marcante ator talentoso filme incrível marca retorno michael keaton telonas Edward norton ótimo lembrar de ele ator favorito esbanjar talento verdadeiro palma Michael keaton interpretar amargura melancolia personagem buscar aceitação importar aliás render globo ouro diretor alejandro consagrar birdman modo direção desenfrear frenético seguir personagem câmera Movimento trilha sonoro pegada jazz encantar interessante diretor escalar elenco adequar clima filme filme tratar hollywood filme super heróis eis michael keaton antigo batman acabar ser substituir Edward Norton acabar ser demiter incrível hulk emma Stone interpretar gwen espetacular homem-aranha alejandro dizer terminar roteiro pensar michael keaton olhar dar acertar cheio keaton retornar mostrar talento acumular filme oficialmente estrear dia 29 janeiro pretender revê-lo
Um visitante,2,engraçado cinema proporcionar momento único acompanhar arte fácil acontecer certo coisa certos artista birdman unir momento interessante mostrar michael keaton muito lenha pra queimar conseguir trazer volta diretor alejandro gonzáles drama    conseguir realizar 21 grama babel biutiful conseguir pequeno personagem comediante zach galifianakis conseguir sugestivo fazer contar Edward Norton naomi watts estrela ascensão Emma stone birdman interessante vir atuação atuação existir peça almejar realizar sucesso diariamente atrapalhar ser ator fixo momento stress loucura integrante pedir exceção algum motivo sair eixo causar certo briga chamar atenção momento atuação principalmente belo dinâmico Edward Norton Emma Stone michael keaton zach Galifianakis naomi watts Norton seguir birdman admirável surpresa ano filme vir correr destaque
Marcos A.,3,sensacional elenco maravilhoso diálogo excelente extremamente sarcástico reflexão cinema fazer fazer transformar espectador consumidor ruminante voraz pensante muito filme interessante ator 30 ano vestiar capa preto excelente ator terminar frase filme saúde capacidade ganhar dinheiro ... sensacional
Khemerson M.,3,hoje certos filme costumar criticar próprio indústria sustentar verdade tirar autoparódia bacana esquecível subgênero voltar meia gerar belo obra-prima processo Crepúsculo deuses jogador artista lista infinito entretanto tornar obra rico tematicamente capacidade perceber nuance objeto criticar contentar crítico crítico buscar traçar perfil verossímil impiedoso indústria personagem – executivo produtor cineasta roteirista caso birdman ator filme alejandro Gonzalez iñarritu obsessão riggan thompson michael keaton foco câmera onipresente mestre emanuel lubezki tratar personagem “ orbita ” voltar thompson filha problemático stone coadjuvante insegura watts agente galifianakis parceiro cena instável imprevisível “ galã ” Mike Shinner norton).abrindo filme fabuloso simbólico plano ver protagonista “ flutuar ” seguir sermos levar centrar foco em aquilo realmente importar trajetória riggan razão levar ... ler restante texto clicar link abaixo
